HOLEID,X,Y,Z
DH-001,8570.860334,243375.5882,608.378525
DH-002,8550.338689,243414.3405,607.431737
DH-003,8524.568391,243462.7851,623.817976
DH-004,8571.335107,243470.4746,616.364399
DH-005,8555.526613,243500.5534,607.235686
DH-006,8534.446481,243539.5161,612.323846
DH-007,8369.370875,243366.163,705.077944
DH-008,8358.576721,243434.5298,678.704741
DH-009,8358.19,243439.95,678.35
DH-010,8365.360231,243388.544,685.180933
DH-011,8384.7,243455.96,674.93
DH-012,8387.184132,243451.7654,672.187509
DH-013,8412.452783,243407.9525,679.858812
DH-014,8426.961502,243383.4582,693.115282
DH-015,8357.533117,243493.206,714.119404
DH-016,8377.204934,243396.0603,680.718626
DH-017,8369.939537,243409.6999,680.30489
DH-018,8362.9386,243422.9525,680.495339
DH-019,8406.620995,243404.0953,668.824992
DH-020,8397.70066,243420.4508,674.599446
DH-021,8390.704692,243433.6973,674.520802
DH-022,8430.700258,243421.4532,674.377992
DH-023,8423.699651,243434.4548,674.11644
DH-024,8416.698886,243447.462,673.967632
DH-025,8408.7,243450.46,674.22
DH-026,8409.199114,243450.4616,674.594136
DH-027,8457.452013,243434.9546,674.756766
DH-028,8450.201005,243447.9655,674.061306
DH-029,8443.451386,243460.9607,674.089942
DH-030,8434.7,243477.96,665.15
DH-031,8434.700529,243477.9607,680.448464
DH-032,8427.421625,243415.1648,666.772527
DH-033,8497.058621,243230.121,613.718049
DH-034,8478.634798,243265.8565,630.245946
DH-035,8455.994387,243309.108,652.797289
DH-036,8440.041384,243339.2634,668.823233
DH-037,8368.389157,243472.7361,635.921018
DH-038,8559.898196,243304.9106,622.099346
DH-039,8539.684476,243340.9267,634.323372
DH-040,8516.36821,243380.1671,650.763385
DH-041,8496.347317,243417.611,662.692198
DH-042,8484.210135,243447.1653,660.225709
DH-043,8451.067908,243511.4169,664.485821
DH-044,8427.449599,243554.3223,687.198524
DH-045,8423.2,243562.47,683.87
DH-046,8512.67899,243299.862,650.411059
DH-047,8488.474302,243335.0427,664.813306
DH-048,8486.356063,243351.6569,633.464405
DH-049,8459.074156,243404.386,678.974366
DH-050,8402.723649,243505.8799,697.273723
DH-051,8403.037738,243499.2957,643.42241
DH-052,8378.993988,243264.4668,644.252292
DH-053,8352.342565,243315.0471,676.818152
DH-054,8327.956913,243359.718,709.404453
DH-055,8310.233828,243393.189,718.828567
DH-056,8294.19491,243417.5084,707.350671
DH-057,8278.217564,243452.1654,715.956582
DH-058,8254.833436,243492.8974,733.830363
DH-059,8249.18,243503.86,745.25
DH-060,8439.962723,243246.3129,636.31309
DH-061,8412.978593,243296.9,658.006773
DH-062,8393.744549,243333.1411,679.672648
DH-063,8370.152342,243368.072,702.054652
DH-064,8320.688625,243469.3021,707.031164
DH-065,8284.614433,243254.8827,646.519312
DH-066,8265.546153,243290.3982,657.355411
DH-067,8234.128339,243344.9416,709.878351
DH-068,8226.039209,243359.9161,676.631968
DH-069,8199.884707,243409.3807,708.702377
DH-070,8167.97,243468.96,756.84
DH-071,8135.119806,243331.671,701.352604
DH-072,8113.897534,243376.9128,731.49719
DH-073,8089.77,243422.7,747.28
DH-075,8011.26,243377.45,733.83
DH-076,8177.736618,243351.5036,709.965406
DH-077,8158.568357,243386.4531,716.147389
DH-078,8187.786401,243385.1192,709.763458
DH-079,8441.413386,243593.093,683.216767
DH-080,8430.850617,243616.4253,668.580856
DH-081,8399.24873,243605.8165,667.789384
DH-082,8390.780517,243620.6406,637.449526
DH-083,8358.288576,243585.3442,713.591635
DH-084,8350.612908,243607.2343,700.286713
DH-085,8338.750929,243622.8325,679.527761
DH-086,8319.684139,243573.981,723.747561
DH-087,8304.629,243588.204,721.041759
DH-088,8282.490629,243631.6642,699.722713
DH-089,8258.128832,243677.4541,687.183865
DH-090,8325.336738,243645.5526,656.598685
DH-091,8274.290338,243551.2165,748.924706
DH-092,8254.488397,243587.7544,728.318932
DH-093,8219.944537,243653.6046,712.316096
DH-094,8234.758443,243622.962,728.057456
DH-095,8227.833965,243540.2358,718.096349
DH-096,8189.335907,243519.3086,762.191551
DH-097,8183.042117,243522.9822,703.015236
DH-098,8140.820631,243606.1432,738.351285
DH-099,8111.98311,243654.9062,736.279217
DH-100,8078.004368,243631.7136,770.208679
DH-101,8147.648853,243693.2184,707.797668
DH-102,8202.185583,243679.9537,691.271899
DH-103,8228.911549,243730.241,689.28659
DH-104,8296.493971,243702.0594,656.066168
DH-105,8121.6413,243742.4244,744.209365
DH-106,8052.540417,243679.5056,753.539035
DH-107,7902.137985,243677.7553,839.046152
DH-108,7929.466576,243614.2429,826.426459
DH-109,7959.806932,243552.0585,819.471211
DH-110,7871.997795,243733.8349,841.156765
DH-111,7899.035836,243774.0977,830.166326
DH-112,7925.912506,243724.0915,834.017839
DH-113,7957.383993,243666.7889,824.298858
DH-114,7987.672108,243608.6477,812.873293
DH-115,7952.863631,243772.5394,834.919059
DH-116,7847.670811,243678.2538,827.719378
DH-117,7871.80893,243639.2434,846.294563
DH-118,7902.037861,243583.2972,838.514342
DH-119,7931.820188,243525.9717,830.912885
DH-120,7998.876638,243496.1004,810.790405
DH-121,7792.253779,243596.5754,857.136312
DH-122,7825.390839,243545.84,843.683844
DH-123,7926.446791,243821.6879,831.274374
DH-124,8008.250733,243762.0061,807.492546
DH-125,7983.537529,243802.3301,791.357163
DH-126,8043.305828,243790.5304,792.18108
DH-127,8030.198128,243532.2043,773.97365
